data_folder,threshold,data_id,seed,pytorch_verified_energy,scipy_reported_energy,energy_difference,scipy_result_file,status
1_data_1000,1e-4,data_3,2,-19441.802532434464,-19441.802532434464,0.0,../1_solve/solution/1_data_1000/thr_1e-4/data_3/scipy_2,MATCH
1_data_1000,1e-4,data_3,3,-19399.51096534729,-19399.51096534729,0.0,../1_solve/solution/1_data_1000/thr_1e-4/data_3/scipy_3,MATCH
1_data_1000,1e-4,data_3,4,-19494.02014017105,-19494.02014017105,0.0,../1_solve/solution/1_data_1000/thr_1e-4/data_3/scipy_4,MATCH
1_data_1000,1e-4,data_3,5,-19561.38100862503,-19561.38100862503,0.0,../1_solve/solution/1_data_1000/thr_1e-4/data_3/scipy_5,MATCH
1_data_1000,1e-4,data_4,1,-20598.576995372772,-20598.576995372772,0.0,../1_solve/solution/1_data_1000/thr_1e-4/data_4/scipy_1,MATCH
1_data_1000,1e-4,data_4,2,-20725.16413795948,-20725.16413795948,0.0,../1_solve/solution/1_data_1000/thr_1e-4/data_4/scipy_2,MATCH
1_data_1000,1e-4,data_4,3,-20711.010538816452,-20711.010538816452,0.0,../1_solve/solution/1_data_1000/thr_1e-4/data_4/scipy_3,MATCH
1_data_1000,1e-4,data_4,4,-20639.20989704132,-20639.20989704132,0.0,../1_solve/solution/1_data_1000/thr_1e-4/data_4/scipy_4,MATCH
1_data_1000,1e-4,data_4,5,-20699.59771168232,-20699.59771168232,0.0,../1_solve/solution/1_data_1000/thr_1e-4/data_4/scipy_5,MATCH
1_data_1000,1e-4,data_5,1,-18680.78689467907,-18680.78689467907,0.0,../1_solve/solution/1_data_1000/thr_1e-4/data_5/scipy_1,MATCH
1_data_1000,1e-4,data_5,2,-18772.61801826954,-18772.61801826954,0.0,../1_solve/solution/1_data_1000/thr_1e-4/data_5/scipy_2,MATCH
1_data_1000,1e-4,data_5,3,-18869.549912571907,-18869.549912571907,0.0,../1_solve/solution/1_data_1000/thr_1e-4/data_5/scipy_3,MATCH
1_data_1000,1e-4,data_5,4,-18701.28827369213,-18701.28827369213,0.0,../1_solve/solution/1_data_1000/thr_1e-4/data_5/scipy_4,MATCH
1_data_1000,1e-4,data_5,5,-18724.321975708008,-18724.321975708008,0.0,../1_solve/solution/1_data_1000/thr_1e-4/data_5/scipy_5,MATCH
1_data_1000,1e-5,data_1,1,-19803.783564805984,-19803.783564805984,0.0,../1_solve/solution/1_data_1000/thr_1e-5/data_1/scipy_1,MATCH
1_data_1000,1e-5,data_1,2,-19877.72276186943,-19877.72276186943,0.0,../1_solve/solution/1_data_1000/thr_1e-5/data_1/scipy_2,MATCH
1_data_1000,1e-5,data_1,3,-19691.90519452095,-19691.90519452095,0.0,../1_solve/solution/1_data_1000/thr_1e-5/data_1/scipy_3,MATCH
1_data_1000,1e-5,data_1,4,-19768.459983468056,-19768.459983468056,0.0,../1_solve/solution/1_data_1000/thr_1e-5/data_1/scipy_4,MATCH
1_data_1000,1e-5,data_1,5,-19837.325464487076,-19837.325464487076,0.0,../1_solve/solution/1_data_1000/thr_1e-5/data_1/scipy_5,MATCH
1_data_1000,1e-5,data_2,1,-19010.922568559647,-19010.922568559647,0.0,../1_solve/solution/1_data_1000/thr_1e-5/data_2/scipy_1,MATCH
1_data_1000,1e-5,data_2,2,-19197.63209760189,-19197.63209760189,0.0,../1_solve/solution/1_data_1000/thr_1e-5/data_2/scipy_2,MATCH
1_data_1000,1e-5,data_2,3,-19110.99364197254,-19110.99364197254,0.0,../1_solve/solution/1_data_1000/thr_1e-5/data_2/scipy_3,MATCH
1_data_1000,1e-5,data_2,4,-18954.2714728117,-18954.2714728117,0.0,../1_solve/solution/1_data_1000/thr_1e-5/data_2/scipy_4,MATCH
1_data_1000,1e-5,data_2,5,-18987.673773884773,-18987.673773884773,0.0,../1_solve/solution/1_data_1000/thr_1e-5/data_2/scipy_5,MATCH
1_data_1000,1e-5,data_3,1,-19539.113792657852,-19539.113792657852,0.0,../1_solve/solution/1_data_1000/thr_1e-5/data_3/scipy_1,MATCH
1_data_1000,1e-5,data_3,2,-19470.365857720375,-19470.365857720375,0.0,../1_solve/solution/1_data_1000/thr_1e-5/data_3/scipy_2,MATCH
1_data_1000,1e-5,data_3,3,-19484.453665733337,-19484.453665733337,0.0,../1_solve/solution/1_data_1000/thr_1e-5/data_3/scipy_3,MATCH
1_data_1000,1e-5,data_3,4,-19604.37414610386,-19604.37414610386,0.0,../1_solve/solution/1_data_1000/thr_1e-5/data_3/scipy_4,MATCH
1_data_1000,1e-5,data_3,5,-19561.38100862503,-19561.38100862503,0.0,../1_solve/solution/1_data_1000/thr_1e-5/data_3/scipy_5,MATCH
1_data_1000,1e-5,data_4,1,-20752.387407541275,-20752.387407541275,0.0,../1_solve/solution/1_data_1000/thr_1e-5/data_4/scipy_1,MATCH
1_data_1000,1e-5,data_4,2,-20849.834438443184,-20849.834438443184,0.0,../1_solve/solution/1_data_1000/thr_1e-5/data_4/scipy_2,MATCH
1_data_1000,1e-5,data_4,3,-20751.4014159441,-20751.4014159441,0.0,../1_solve/solution/1_data_1000/thr_1e-5/data_4/scipy_3,MATCH
1_data_1000,1e-5,data_4,4,-20719.71374499798,-20719.71374499798,0.0,../1_solve/solution/1_data_1000/thr_1e-5/data_4/scipy_4,MATCH
1_data_1000,1e-5,data_4,5,-20713.51890182495,-20713.51890182495,0.0,../1_solve/solution/1_data_1000/thr_1e-5/data_4/scipy_5,MATCH
1_data_1000,1e-5,data_5,1,-18735.462472319603,-18735.462472319603,0.0,../1_solve/solution/1_data_1000/thr_1e-5/data_5/scipy_1,MATCH
1_data_1000,1e-5,data_5,2,-18772.61801826954,-18772.61801826954,0.0,../1_solve/solution/1_data_1000/thr_1e-5/data_5/scipy_2,MATCH
1_data_1000,1e-5,data_5,3,-18866.18715441227,-18866.18715441227,0.0,../1_solve/solution/1_data_1000/thr_1e-5/data_5/scipy_3,MATCH
