data_folder,threshold,data_id,seed,pytorch_verified_energy,pytorch_reported_energy,energy_difference,pytorch_result_file,status
2_data_6000,1e-1,data_1,1,-278175.71875,-278175.6875,-0.03125,../1_solve/solution/2_data_6000/thr_1e-1/data_1/pytorch_1,MATCH
2_data_6000,1e-1,data_1,2,-278347.875,-278347.875,0.0,../1_solve/solution/2_data_6000/thr_1e-1/data_1/pytorch_2,MATCH
2_data_6000,1e-1,data_1,3,-279355.9375,-279355.9375,0.0,../1_solve/solution/2_data_6000/thr_1e-1/data_1/pytorch_3,MATCH
2_data_6000,1e-1,data_1,4,-278752.6875,-278752.71875,0.03125,../1_solve/solution/2_data_6000/thr_1e-1/data_1/pytorch_4,MATCH
2_data_6000,1e-1,data_1,5,-278079.21875,-278079.21875,0.0,../1_solve/solution/2_data_6000/thr_1e-1/data_1/pytorch_5,MATCH
2_data_6000,1e-1,data_2,1,-279616.625,-279616.625,0.0,../1_solve/solution/2_data_6000/thr_1e-1/data_2/pytorch_1,MATCH
2_data_6000,1e-1,data_2,2,-279965.96875,-279965.96875,0.0,../1_solve/solution/2_data_6000/thr_1e-1/data_2/pytorch_2,MATCH
2_data_6000,1e-1,data_2,3,-279524.4375,-279524.4375,0.0,../1_solve/solution/2_data_6000/thr_1e-1/data_2/pytorch_3,MATCH
2_data_6000,1e-1,data_2,4,-278895.65625,-278895.625,-0.03125,../1_solve/solution/2_data_6000/thr_1e-1/data_2/pytorch_4,MATCH
2_data_6000,1e-1,data_2,5,-280011.1875,-280011.1875,0.0,../1_solve/solution/2_data_6000/thr_1e-1/data_2/pytorch_5,MATCH
2_data_6000,1e-1,data_3,1,-282245.625,-282245.65625,0.03125,../1_solve/solution/2_data_6000/thr_1e-1/data_3/pytorch_1,MATCH
2_data_6000,1e-1,data_3,2,-282060.25,-282060.25,0.0,../1_solve/solution/2_data_6000/thr_1e-1/data_3/pytorch_2,MATCH
2_data_6000,1e-1,data_3,3,-282767.65625,-282767.65625,0.0,../1_solve/solution/2_data_6000/thr_1e-1/data_3/pytorch_3,MATCH
2_data_6000,1e-1,data_3,4,-283437.0625,-283437.0625,0.0,../1_solve/solution/2_data_6000/thr_1e-1/data_3/pytorch_4,MATCH
2_data_6000,1e-1,data_3,5,-282554.625,-282554.625,0.0,../1_solve/solution/2_data_6000/thr_1e-1/data_3/pytorch_5,MATCH
2_data_6000,1e-1,data_4,1,-272910.875,-272910.875,0.0,../1_solve/solution/2_data_6000/thr_1e-1/data_4/pytorch_1,MATCH
2_data_6000,1e-1,data_4,2,-272484.25,-272484.25,0.0,../1_solve/solution/2_data_6000/thr_1e-1/data_4/pytorch_2,MATCH
2_data_6000,1e-1,data_4,3,-274169.03125,-274169.03125,0.0,../1_solve/solution/2_data_6000/thr_1e-1/data_4/pytorch_3,MATCH
2_data_6000,1e-1,data_4,4,-273190.0625,-273190.03125,-0.03125,../1_solve/solution/2_data_6000/thr_1e-1/data_4/pytorch_4,MATCH
2_data_6000,1e-1,data_4,5,-273560.0,-273560.0,0.0,../1_solve/solution/2_data_6000/thr_1e-1/data_4/pytorch_5,MATCH
2_data_6000,1e-1,data_5,1,-268975.8125,-268975.84375,0.03125,../1_solve/solution/2_data_6000/thr_1e-1/data_5/pytorch_1,MATCH
2_data_6000,1e-1,data_5,2,-268518.96875,-268518.9375,-0.03125,../1_solve/solution/2_data_6000/thr_1e-1/data_5/pytorch_2,MATCH
2_data_6000,1e-1,data_5,3,-268563.28125,-268563.25,-0.03125,../1_solve/solution/2_data_6000/thr_1e-1/data_5/pytorch_3,MATCH
2_data_6000,1e-1,data_5,4,-269303.3125,-269303.375,0.0625,../1_solve/solution/2_data_6000/thr_1e-1/data_5/pytorch_4,MATCH
2_data_6000,1e-1,data_5,5,-269260.25,-269260.21875,-0.03125,../1_solve/solution/2_data_6000/thr_1e-1/data_5/pytorch_5,MATCH
2_data_6000,1e-2,data_1,1,-278688.1875,-278688.1875,0.0,../1_solve/solution/2_data_6000/thr_1e-2/data_1/pytorch_1,MATCH
